reg;acte;nb_sejsea;nb_actes;dms_globale;nb_sej_0_nuit;nb_acte_ambu
1;HBMA0040;16;16;0,00;16;16
1;HBMD0380;57;165;1,40;47;144
1;HBMD0440;12;16;0,00;12;16
1;HBMD0490;110;289;1,28;94;252
1;HBMD0500;20;42;2,20;16;35
1;HBMD0530;70;187;0,47;65;179
1;HBMD0540;39;94;1,13;29;67
1;HBMD0580;31;63;2,06;26;52
1;HBQK0020;377;386;13,16;59;60
1;HCFA0070;36;36;2,36;31;31
1;HCFA0080;14;14;3,07;.;.
1;HCFA0090;14;14;3,86;.;.
1;HCFA0110;19;19;2,68;.;.
1;HCHA0020;68;68;4,57;39;39
1;HCQM0010;14;14;12,21;.;.
1;HCQX0040;22;29;2,86;.;.
1;HDJD0020;32;34;3,88;.;.
1;HDQE0010;41;41;6,71;15;15
1;HEAE0030;35;36;5,51;.;.
1;HEFE0010;44;44;1,16;35;35
1;HEFE0020;104;104;1,04;75;75
1;HEFE0030;25;25;1,04;17;17
1;HEGE0010;21;21;2,24;.;.
1;HEGE0020;57;59;4,33;12;12
1;HEQE0010;13;13;1,54;.;.
1;HEQE0020;11295;11489;3,07;7686;7692
1;HEQE0050;12;12;0,83;.;.
1;HEQH0020;391;401;7,59;80;81
1;HEQX0050;12;13;5,08;.;.
1;HESE0020;109;119;13,28;25;25
1;HFCA0020;27;28;21,48;.;.
1;HFCA0030;51;53;16,75;.;.
1;HFCA0040;13;13;23,54;.;.
1;HFCB0010;122;124;30,70;24;24
1;HFCC0010;17;17;8,24;.;.
1;HFCC0030;22;22;5,45;.;.
1;HFCH0010;69;72;5,04;44;46
1;HFFA0050;25;26;24,08;.;.
1;HFFA0060;32;32;16,53;.;.
1;HFFC0180;229;229;4,24;.;.
1;HFHD0010;232;233;4,05;.;.
1;HFHD0020;52;52;2,88;.;.
1;HFKD0010;17;19;10,76;.;.
1;HFLE0010;23;24;19,35;.;.
1;HFLH0010;155;165;8,55;50;51
1;HFMC0080;32;32;2,75;.;.
1;HFQX0040;21;21;10,67;.;.
1;HFQX0050;290;294;1,42;218;219
1;HFQX0080;30;30;23,87;.;.
1;HGAA0030;12;12;8,33;.;.
1;HGCA0020;41;41;17,41;.;.
1;HGCA0040;12;13;14,67;.;.
1;HGCA0080;36;37;28,97;.;.
1;HGFA0030;23;24;22,91;.;.
1;HGFA0040;18;18;27,17;.;.
1;HGFA0050;95;100;19,61;.;.
1;HGFA0070;61;61;19,67;.;.
1;HGLA0010;35;38;26,83;.;.
1;HGLE0010;20;20;7,00;.;.
1;HGPA0040;129;132;11,47;.;.
1;HGPC0150;14;14;7,86;.;.
1;HGQX0030;19;19;25,11;.;.
1;HGQX0050;55;55;3,93;29;29
1;HGQX0080;37;38;23,86;.;.
1;HGSA0010;60;60;13,57;.;.
1;HHAE0010;37;40;2,95;15;15
1;HHCA0010;12;12;18,42;.;.
1;HHCA0020;92;94;22,16;.;.
1;HHCC0070;20;20;22,70;.;.
1;HHEE0010;12;15;10,42;.;.
1;HHFA0010;81;81;4,53;.;.
1;HHFA0020;65;66;12,08;.;.
1;HHFA0060;48;48;17,33;.;.
1;HHFA0080;97;97;9,05;.;.
1;HHFA0090;105;108;14,45;.;.
1;HHFA0110;45;45;18,42;.;.
1;HHFA0140;40;40;16,78;.;.
1;HHFA0160;297;301;4,88;.;.
1;HHFA0180;23;24;23,52;.;.
1;HHFA0200;34;34;10,97;.;.
1;HHFA0240;22;23;21,91;.;.
1;HHFA0250;161;161;7,84;.;.
1;HHFA0260;43;43;23,44;.;.
1;HHFE0010;23;23;1,30;15;15
1;HHFE0020;2522;2524;0,56;2243;2244
1;HHFE0040;456;456;0,71;366;366
1;HHFE0050;19;19;1,26;.;.
1;HHFE0060;418;418;0,75;328;328
1;HHJE0010;38;42;16,18;.;.
1;HHMA0020;12;12;34,08;.;.
1;HHMA0030;43;44;13,88;.;.
1;HHNE0010;616;617;1,28;426;427
