"reg";"acte";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"DBKA0060";"50";".";"23.34"
"01";"DBKA0100";"23";".";"35.0869565217391"
"01";"DBMA0030";"25";".";"24.04"
"01";"DBMA0080";"13";".";"25.8461538461538"
"01";"DCJA0010";"31";".";"27.1935483870967"
"01";"DCJB0010";"13";".";"13.75"
"01";"DDAF0010";"17";".";"11.1764705882352"
"01";"DDAF0040";"65";".";"8.2063492063492"
"01";"DDAF0060";"252";".";"6.84710743801653"
"01";"DDAF0070";"55";".";"5.38181818181818"
"01";"DDAF0080";"483";".";"5.44206008583691"
"01";"DDAF0100";"41";".";"7.73170731707317"
"01";"DDMA0050";"25";".";"21.4"
"01";"DDMA0110";"14";".";"33.0714285714285"
"01";"DDMA0150";"13";".";"22.2307692307692"
"01";"DDMA0180";"25";".";"24.12"
"01";"DDQF2020";"27";".";"5.29629629629629"
"01";"DDQH0090";"1854";".";"6.35209713024282"
"01";"DDQH0120";"81";".";"7.725"
"01";"DDQH0130";"49";".";"6.19148936170212"
"01";"DEKA0010";"105";".";"3.43564356435643"
"01";"DEKA0020";"18";".";"5.11111111111111"
"01";"DELF0050";"223";".";"5.11442786069651"
"01";"DELF0070";"55";".";"13.1132075471698"
"01";"DELF0100";"40";".";"6.02702702702702"
"01";"DELF0130";"36";".";"7.17647058823529"
"01";"DELF0140";"41";".";"6.53846153846154"
"01";"DELF0160";"17";".";"6.875"
"01";"DELF0170";"14";".";"8.30769230769231"
"01";"DEMP0010";"83";".";"6.6867469879518"
"01";"DEMP0020";"273";".";"5.34848484848484"
"01";"DEPF0050";"14";".";"2.42857142857142"
"01";"DEPF0100";"23";".";"2.60869565217391"
"01";"DEPF0120";"114";".";"4.17117117117117"
"01";"DEPF0330";"40";".";"3.225"
"01";"DEQA0011";"15";".";"3.78571428571428"
"01";"DEQF0020";"57";".";"4"
"01";"DEQF0030";"20";".";"5.47368421052631"
"01";"DEQF0040";"20";".";"5.35"
"01";"DEQP0010";"11";".";"4.81818181818181"
"01";"DEQP0030";"34826";"6123";"6.56177569740666"
"01";"DEQP0040";"11053";"315";"13.5593112244898"
"01";"DEQP0050";"692";"22";"13.4923339011925"
"01";"DEQP0070";"37765";"350";"14.592686215032"
"01";"DERP0030";"37";".";"12.4242424242424"
"01";"DERP0040";"131";".";"8.14814814814815"
"01";"DERP0050";"11";".";"18"
"01";"DGGA0040";"15";".";"19.6"
"01";"DGLA0020";"13";".";"25.8333333333333"
"01";"DGQH0010";"213";"78";"4.08920187793427"
"01";"DGQH0070";"28";".";"3.46428571428571"
"01";"DGQM0010";"580";"38";"14.7033582089552"
"01";"DGQM0020";"25";".";"13.12"
"01";"DHLF0010";"464";".";"42.2030651340996"
"01";"DHQH0030";"53";"45";"0.75471698113207"
"01";"DHQH0070";"22";"20";"0.59090909090909"
"01";"DHSF0010";"17";".";"22"
"01";"DKMD0010";"71";".";"13.9333333333333"
"01";"DKMD0020";"146";"13";"21.7461538461538"
"01";"DKRP0040";"46";".";"7.24444444444444"
"01";"DZQJ0010";"95";".";"21.3"
"01";"DZQJ0020";"112";".";"24.4230769230769"
"01";"DZQJ0060";"51";".";"30.5555555555555"
"01";"DZQJ0070";"137";".";"24.5833333333333"
"01";"DZQJ0080";"62";".";"25.258064516129"
"01";"DZQJ0100";"17";".";"6.35294117647058"
"01";"DZQJ0110";"44";".";"14.4883720930232"
"01";"DZQJ9000";"260";".";"22.3018867924528"
"01";"DZQM0030";"13";".";"3.61538461538461"
"01";"DZQM0050";"3232";"27";"20.9153722549544"
"01";"DZQM0060";"8791";"2037";"9.87057808455565"
"01";"DZQN0010";"47";".";"18.0212765957446"
"01";"DZQN0020";"36";".";"14.1111111111111"
"01";"EANF0020";"13";".";"12.8461538461538"
"01";"EAQH0020";"723";".";"13.9783236994219"
"01";"EAQM0020";"15";".";"10.4444444444444"
"01";"EAQM0040";"328";"97";"10.228855721393"
"01";"EBFA0080";"31";".";"17.4838709677419"
"01";"EBFA0160";"14";".";"4.78571428571428"
"01";"EBGA0010";"157";"88";"8.66878980891719"
"01";"EBHA0010";"21";".";"13.5238095238095"
"01";"EBLA0030";"1136";"682";"8.83152173913043"
"01";"EBQH0040";"491";"12";"12.9651639344262"
"01";"EBQH0060";"238";".";"14.4891774891774"
"01";"EBQM0010";"834";"49";"14.3797313797313"
"01";"EBQM0020";"3484";"799";"4.2744451109778"
"01";"EBQM0030";"535";"30";"11.3235867446393"
"01";"EBQM9000";"26";".";"9.76923076923077"
"01";"ECCA0040";"25";".";"6.875"
"01";"ECJF0010";"22";".";"6.81818181818182"
"01";"ECQH0100";"1966";"29";"13.2142099681866"
"01";"ECQH0110";"534";"14";"12.0402298850574"
"01";"ECQM0010";"22";".";"27.2272727272727"
"01";"ECQM0020";"107";".";"15.4666666666666"
"01";"EDAF0030";"25";".";"2.85714285714285"
"01";"EDCA0030";"16";".";"27.4375"
"01";"EDQH0050";"29";".";"10.2413793103448"
"01";"EDQH0060";"20";".";"14.7"
"01";"EDQM0010";"576";".";"13.4863387978142"
"01";"EDSF0120";"23";".";"15.9130434782608"
"01";"EDSF0160";"184";".";"4.05102040816326"
"01";"EEAF0010";"43";".";"10.0238095238095"
"01";"EEAF0030";"146";".";"6.93617021276595"
"01";"EEAF0040";"132";".";"5.82539682539682"
"01";"EEAF0060";"121";".";"4.70588235294117"
"01";"EECA0010";"28";".";"18.2592592592592"
"01";"EECA0030";"25";".";"19.16"
"01";"EEFA0010";"12";".";"22.0833333333333"
"01";"EEFA0020";"15";".";"24.1428571428571"
"01";"EEFA0040";"24";".";"15.7826086956521"
"01";"EEPF0020";"20";".";"5.35"
"01";"EEQH0050";"31";".";"3.25806451612903"
"01";"EEQH0060";"235";".";"12.7073170731707"
"01";"EFAF0010";"18";"18";"0"
"01";"EFAF0020";"346";"304";"0.02931596091205"
"01";"EFQH0050";"15";".";"3.64285714285714"
"01";"EFQM0010";"551";".";"31.7674897119341"
"01";"EGED0010";"61";"22";"2.0327868852459"
"01";"EGFA0010";"14";".";"3.5"
"01";"EGFA0020";"92";"13";"2.04347826086956"
"01";"EGFA0030";"137";"32";"3"
"01";"EGFA0050";"18";".";"3.16666666666666"
"01";"EGLF0010";"515";".";"32.4897119341563"
"01";"EGSF0020";"15";".";"0.3076923076923"
"01";"EGSP0010";"12";"12";"0"
"01";"EHNE0010";"27";".";"5.11111111111111"
"01";"EHNE0020";"30";".";"11.5333333333333"
"01";"EJFA0020";"33";"27";"0.33333333333333"
"01";"EJGA0010";"15";"12";"0.35714285714285"
"01";"EJGA0020";"133";"97";"0.6390977443609"
"01";"EJQM0030";"1039";"22";"18.3626373626373"
"01";"EJQM0040";"923";"108";"12.8232502965599"
"01";"EJSA0010";"25";"22";"0.16"
"01";"EKQH0010";"20";".";"21.75"
"01";"ELQH0020";"165";".";"14.6118421052631"
"01";"ELQM0010";"246";"175";"0.6910569105691"
"01";"ELQM0020";"13";".";"5.15384615384615"
"01";"EMQH0010";"295";".";"19.3684210526315"
"01";"ENLF0010";"951";"14";"20.475"
"01";"EPCA0010";"52";".";"2.61538461538461"
"01";"EPFA0060";"12";".";"14.3333333333333"
"01";"EPLF0010";"88";".";"5.85714285714285"
"01";"EPLF0020";"1850";"89";"22.1769340974212"
"01";"EPLF0030";"27";"12";"19.9230769230769"
"01";"EPLF0040";"85";"65";"5.15625"
"01";"EPLF0050";"1199";"924";"12.7851662404092"
"01";"EQGA0010";"34";".";"18.4375"
"01";"EQLA0020";"42";".";"20.5128205128205"
"01";"EQLF0010";"694";".";"23.7551020408163"
"01";"EQLF0020";"6583";"424";"10.8806438947781"
"01";"EQLF0030";"4902";"35";"19.3666169895678"
"01";"EQLF0050";"151";".";"43.3617021276595"
"01";"EQMF0030";"80";".";"3.53333333333333"
"01";"EQMP0010";"97";".";"26.3333333333333"
"01";"EQQF0060";"90";".";"9.19318181818181"
"01";"EQQH0050";"11";".";"10.4545454545454"
"01";"EQQM0010";"26";".";"22"
"01";"EQQM0030";"213";"23";"19.3382352941176"
"01";"EQQM0060";"4137";"1058";"4.48089253654783"
"01";"EQQP0020";"11";".";"4.18181818181818"
"01";"EQQP0030";"397";"331";"1.03562340966921"
"01";"EQQP0040";"273";".";"21.9777777777777"
"01";"EQQP0080";"56";".";"14.3571428571428"
"01";"EQQP0110";"5321";"15";"20.7420494699646"
"01";"EZAF0010";"64";"45";"1.65625"
"01";"EZCA0030";"13";".";"3.23076923076923"
"01";"EZCA0040";"12";".";"6.58333333333333"
"01";"EZMA0010";"196";"61";"3.72538860103627"
"01";"EZPA0010";"93";"18";"3.42857142857142"
"01";"EZPF0040";"12";".";"4"
"01";"EZQM0010";"140";"35";"21.6194029850746"
"01";"EZSA0020";"11";".";"15.3333333333333"
"01";"EZSA0030";"47";"13";"3.95652173913043"
"01";"FAFA0020";"48";"42";"0.16666666666666"
"01";"FAFA0060";"24";".";"0.95833333333333"
"01";"FAFA0080";"210";"180";"0.22488038277511"
"01";"FAFA0100";"12";".";"1.33333333333333"
"01";"FAFA0130";"43";"39";"0.11627906976744"
"01";"FAFA0140";"153";"14";"2.17105263157894"
"01";"FAFA0150";"218";"73";"1.11926605504587"
"01";"FCFA0060";"41";".";"9.73170731707317"
"01";"FCFA0110";"12";".";"6.25"
"01";"FCFA0120";"46";".";"10.6304347826086"
"01";"FCFA0160";"16";".";"7.4375"
"01";"FCFA0180";"15";".";"9.86666666666666"
"01";"FCFA0190";"18";".";"9"
"01";"FCFA0210";"62";"18";"13.8360655737704"
"01";"FCFA0220";"15";".";"8.53333333333333"
"01";"FCFA0280";"12";".";"14.0833333333333"
"01";"FCFA0290";"33";".";"2.6060606060606"
"01";"FCFC0010";"23";".";"7.13043478260869"
"01";"FCFC0030";"18";".";"4.88235294117647"
"01";"FCFC0040";"11";".";"4.63636363636363"
"01";"FCQX0040";"180";"26";"11.4850299401197"
"01";"FCQX0050";"98";"28";"2.26041666666666"
"01";"FCQX0060";"161";"14";"7.0817610062893"
"01";"FCQX0070";"32";".";"1.77419354838709"
"01";"FCQX0080";"29";".";"2.3103448275862"
"01";"FCQX0100";"75";".";"9.02739726027397"
"01";"FCQX0120";"18";".";"10.7222222222222"
"01";"FCQX0280";"27";".";"17.6"
"01";"FDHB0010";"55";"11";"15.1923076923076"
"01";"FDHB0020";"22";".";"20.5454545454545"
"01";"FDHB0060";"119";"87";"3.80672268907563"
"01";"FDQX0070";"37";".";"31.0555555555555"
"01";"FEHB0010";"2379";".";"20.4950980392156"
"01";"FEJF0020";"226";".";"20.7307692307692"
"01";"FEJF0030";"165";"140";"0.68589743589743"
"01";"FEJF0040";"119";".";"1.96226415094339"
"01";"FEJF0060";"205";"153";"0.80246913580246"
"01";"FELF0010";"46";".";"11.2820512820512"
"01";"FELF0020";"94";".";"32.4222222222222"
"01";"FELF0030";"248";".";"24.4691358024691"
"01";"FELF0040";"453";"27";"22.2477611940298"
"01";"FELF0060";"356";"42";"15.0166666666666"
"01";"FELF0070";"280";".";"47.3916083916084"
"01";"FELF0110";"5392";"451";"13.0640864538828"
"01";"FELF0120";"167";"148";"1.6060606060606"
"01";"FEPF0030";"373";"343";"0.49864498644986"
"01";"FFFA0010";"18";".";"13"
"01";"GAFA0050";"11";".";"0.6"
"01";"GAFA0070";"31";"22";"0.90322580645161"
"01";"GAFD0020";"22";".";"1.61904761904761"
"01";"GAMA0070";"36";".";"2.19444444444444"
"01";"GAMA0180";"29";"25";"0.22222222222222"
"01";"GAME0010";"41";"19";"1.175"
"01";"GAND0010";"42";".";"0.28571428571428"
"01";"GAQE0010";"221";"33";"11.8148148148148"
"01";"GBPE0010";"174";"34";"2.55974842767295"
"01";"GCQE0010";"308";".";"19.2666666666666"
"01";"GCQE0020";"15";".";"6.6"
"01";"GCQX0040";"21";".";"5.05263157894736"
"01";"GDFE0040";"23";"13";"0.78260869565217"
"01";"GDHE0010";"12";".";"6.91666666666666"
"01";"GDLD0010";"19";".";"3.63157894736842"
"01";"GDQE0040";"154";"17";"8.97385620915032"
"01";"GDQE0050";"32";".";"11.59375"
"01";"GEHD0010";"139";".";"32.6315789473684"
"01";"GEHE0010";"26";".";"14.076923076923"
"01";"GEJE0010";"27";".";"9.125"
"01";"GEJE0030";"31";".";"41.1111111111111"
"01";"GELD0010";"75";".";"39.3606557377049"
"01";"GELD0020";"62";".";"24.0806451612903"
"01";"GELD0030";"146";".";"45.4496124031007"
"01";"GELD0040";"1038";"22";"25.4488304093567"
"01";"GELD0050";"4167";"150";"9.39183673469387"
"01";"GELE0010";"1256";"300";"7.43174061433447"
"01";"GELF0010";"73";".";"51.2295081967213"
"01";"GEPA0040";"83";".";"43.1604938271605"
"01";"GEQE0040";"387";"20";"19.864"
"01";"GEQE0060";"48";".";"12.3617021276595"
"01";"GEQE0070";"475";"76";"16.3073394495412"
"01";"GEQE0090";"25";".";"38.4210526315789"
"01";"GEQE0120";"102";".";"37.5205479452054"
"01";"GEQE0130";"130";"14";"5.9765625"
"01";"GEQX0020";"114";"21";"17.2631578947368"
"01";"GERD0010";"174";"15";"8.1"
"01";"GFFA0130";"15";".";"14.0666666666666"
"01";"GFFC0020";"18";".";"6.66666666666666"
"01";"GFFC0050";"22";".";"11.7272727272727"
"01";"GFQL0020";"309";".";"14.8065573770491"
"01";"GFQL0050";"61";".";"20.6721311475409"
"01";"GFQM0010";"268";".";"19.5523809523809"
"01";"GFQX0040";"25";".";"13.4"
"01";"GFQX0200";"166";"26";"15.8774193548387"
"01";"GGHB0010";"234";".";"19.1658031088082"
"01";"GGHB0020";"26";".";"17.44"
"01";"GGJB0010";"475";".";"16.559420289855"
"01";"GGJB0020";"275";".";"20.0848484848484"
"01";"GGJB0060";"28";".";"20.8"
"01";"GGLB0060";"39";".";"21.1081081081081"
"01";"GGLC0010";"42";".";"12.1904761904761"
"01";"GGPA0010";"11";".";"34.4545454545454"
"01";"GGQX0040";"12";".";"12.6"
"01";"GLHF0010";"13337";"354";"10.5710900473933"
"01";"GLHF0020";"231";".";"7"
"01";"GLJF0100";"34";".";"22.3333333333333"
"01";"GLLD0030";"7309";".";"24.2724434035909"
"01";"GLLD0040";"490";".";"24.4358974358974"
"01";"GLLD0050";"204";".";"27.2"
"01";"GLLD0060";"260";".";"23.8875"
"01";"GLLD0080";"2357";"28";"19.9166666666666"
"01";"GLLD0090";"495";".";"34.6451612903225"
"01";"GLLD0120";"878";".";"27.6338797814207"
"01";"GLLD0130";"1237";".";"52.9677419354838"
"01";"GLLD0150";"12156";"32";"24.24984948826"
"01";"GLLD0170";"15146";"96";"15.7061598951507"
"01";"GLLD0180";"326";".";"21.5647840531561"
"01";"GLLD0190";"1475";".";"19.5698529411764"
"01";"GLLD0210";"21";".";"15.5"
"01";"GLLP0030";"351";".";"29.590909090909"
"01";"GLLP0060";"1052";"988";"0.29980079681274"
"01";"GLMF0010";"519";".";"23.5982142857142"
"01";"GLMP0010";"102";".";"9.8314606741573"
"01";"GLQD0010";"69";"11";"5.44776119402985"
"01";"GLQD0040";"92";"31";"4.19780219780219"
"01";"GLQD0070";"240";"214";"1.38235294117647"
"01";"GLQF0010";"1387";".";"21.9629629629629"
"01";"GLQP0010";"3459";".";"25.75"
"01";"GLQP0020";"1365";"716";"3.36814425244177"
"01";"GLQP0040";"898";".";"33"
"01";"GLQP0050";"10309";"131";"13.8492537313432"
"01";"GLQP0070";"926";"32";"4.5844298245614"
"01";"GLQP0120";"37";".";"8.68571428571428"
"01";"GLQP0130";"330";"215";"2.74454828660436"
"01";"GLQP0160";"760";"601";"1.98527443105756"
"01";"HAFA0080";"13";".";"0.53846153846153"
"01";"HAFA0150";"17";"11";"0.5"
"01";"HAJA0060";"17";".";"5.1875"
"01";"HAPA0010";"31";"29";"0.03333333333333"
"01";"HAPA0030";"11";".";"0.27272727272727"
"01";"HAPD0010";"40";".";"0.925"
"01";"HASA0180";"16";".";"0.78571428571428"
"01";"HBDD0080";"11";".";"5.54545454545454"
"01";"HBFD0060";"67";"22";"0.56666666666666"
"01";"HBGB0010";"37";"18";"1.4375"
"01";"HBGD0020";"14";".";"0.25"
"01";"HBGD0030";"71";"46";"0.08"
"01";"HBGD0040";"46";"37";"0.29545454545454"
"01";"HBGD0140";"14";"12";"0.42857142857142"
"01";"HBGD0160";"21";".";"4.1875"
"01";"HBGD0180";"16";"12";"0.4"
"01";"HBGD0210";"126";"118";"0.14285714285714"
"01";"HBGD0220";"36";"26";"0.70588235294117"
"01";"HBGD0250";"194";"187";"0.03645833333333"
"01";"HBGD0310";"23";"13";"3"
"01";"HBGD0340";"20";"13";"2.35"
"01";"HBGD0350";"39";"31";"1.21052631578947"
"01";"HBGD0360";"146";"87";"6.20689655172413"
"01";"HBGD0370";"34";"22";"1.12121212121212"
"01";"HBGD0380";"1031";"977";"0.06304558680892"
"01";"HBGD0430";"105";"59";"7.47619047619047"
"01";"HBGD0470";"13";".";"0.25"
"01";"HBGD0650";"22";"19";"0.27272727272727"
"01";"HBGD1060";"29";"19";"1.79310344827586"
"01";"HBGD2840";"29";"21";"0.93103448275862"
"01";"HBGD3090";"29";"22";"0.27586206896551"
"01";"HBGD3190";"51";"31";"6.6078431372549"
"01";"HBGD4200";"19";".";"0.57894736842105"
"01";"HBGD4220";"27";".";"0.48148148148148"
"01";"HBGD4590";"16";"14";"0.1875"
