"reg";"Acte CCAM + phase";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"DZQJ0060";"86";".";"26.1320754716981"
"01";"DZQJ0070";"135";".";"24.1846153846153"
"01";"DZQJ0080";"22";".";"28.3181818181818"
"01";"DZQJ0110";"25";".";"19.2"
"01";"DZQJ9000";"187";".";"20.386075949367"
"01";"DZQM0050";"3341";"26";"19.9250559284116"
"01";"DZQM0060";"9263";"2656";"11.2071848869619"
"01";"DZQN0020";"21";".";"16.35"
"01";"EAQH0020";"182";".";"14.2277777777777"
"01";"EAQM0020";"65";".";"26.7692307692307"
"01";"EAQM0040";"243";".";"12.3097345132743"
"01";"EAQM0050";"34";".";"45"
"01";"EBFA0030";"11";".";"9.09090909090909"
"01";"EBFA0160";"29";".";"8.5"
"01";"EBGA0010";"274";"163";"7.71698113207547"
"01";"EBHA0010";"19";".";"5.44444444444444"
"01";"EBLA0020";"13";".";"26.2307692307692"
"01";"EBLA0030";"1425";"916";"6.27709978463747"
"01";"EBQH0040";"559";".";"14.280834914611"
"01";"EBQH0060";"88";".";"12.2298850574712"
"01";"EBQM0010";"825";"22";"12.8271144278606"
"01";"EBQM0020";"2563";".";"4.95702962035878"
"01";"EBQM0030";"266";".";"8.70866141732283"
"01";"ECCA0040";"22";".";"4.27272727272727"
"01";"ECJF0010";"28";".";"5.28571428571428"
"01";"ECQH0100";"1436";"49";"12.6564996368917"
"01";"ECQH0110";"231";"12";"14.6933333333333"
"01";"ECQM0010";"33";".";"21.9090909090909"
"01";"ECQM0020";"100";"38";"18.7297297297297"
"01";"EDAF0020";"15";".";"5.15384615384615"
"01";"EDAF0030";"24";".";"3.625"
"01";"EDCA0030";"15";".";"15.8666666666666"
"01";"EDQH0050";"26";".";"5.64"
"01";"EDQH0060";"38";".";"14.1176470588235"
"01";"EDQM0010";"480";".";"14.1139784946236"
"01";"EDSF0040";"33";".";"6.51851851851851"
"01";"EDSF0120";"23";".";"17.6190476190476"
"01";"EDSF0160";"162";".";"3.14117647058823"
"01";"EEAF0010";"87";".";"7.60919540229885"
"01";"EEAF0030";"240";".";"5.56962025316455"
"01";"EEAF0040";"92";".";"6.5054945054945"
"01";"EEAF0060";"159";".";"6.17532467532467"
"01";"EECA0010";"25";".";"19.0833333333333"
"01";"EECA0030";"20";".";"26.5"
"01";"EECA0080";"16";".";"23.125"
"01";"EECA0090";"11";".";"9.45454545454545"
"01";"EEFA0040";"20";".";"17.7777777777777"
"01";"EEPF0020";"145";".";"3.1103448275862"
"01";"EEQH0050";"15";".";"9.5"
"01";"EEQH0060";"378";".";"8.7032967032967"
"01";"EFAF0010";"13";"12";"0"
"01";"EFAF0020";"305";"272";"0.02536231884057"
"01";"EFQM0010";"294";"48";"28.2063492063492"
"01";"EGED0010";"73";".";"3.45205479452054"
